               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.08879,            0.018641,            0.027537,             0.18164,             0.53351,             0.22106,            0.083429,            0.057822,           0.0095131,            0.023953,            0.070395,           0.0032895,           0.0032895
                   1,            0.058432,            0.016754,            0.020691,             0.52809,             0.70924,             0.58592,             0.22723,            0.049291,           0.0071752,             0.01435,            0.040384,           0.0066119,           0.0066119
                   2,            0.054261,            0.014278,            0.012737,             0.35748,             0.82961,             0.59334,             0.25525,            0.043967,           0.0067682,             0.01481,            0.010362,           0.0099233,           0.0099233
                   3,            0.048864,            0.012422,            0.009823,             0.64305,             0.68582,             0.76318,             0.38171,            0.040515,           0.0062589,            0.013342,           0.0099505,           0.0099505,           0.0099505
                   4,            0.044603,            0.010823,           0.0085606,             0.87441,             0.84349,             0.87291,             0.46832,            0.034694,           0.0047798,           0.0049488,           0.0099505,           0.0099505,           0.0099505
                   5,            0.040381,            0.010031,           0.0069977,             0.88831,              0.8818,             0.90481,             0.50617,               0.033,           0.0045371,           0.0035725,            0.009934,            0.009934,            0.009934
                   6,            0.038235,           0.0094615,           0.0070202,             0.81653,             0.87466,             0.87432,             0.53159,            0.032502,           0.0046157,           0.0080195,           0.0099175,           0.0099175,           0.0099175
                   7,             0.03628,           0.0095146,           0.0076769,             0.79073,             0.82461,             0.86761,             0.48582,            0.034804,           0.0044527,           0.0071254,            0.009901,            0.009901,            0.009901
                   8,            0.036556,           0.0091175,           0.0075153,              0.7346,             0.86326,             0.87238,             0.56509,            0.031319,           0.0042816,           0.0098421,           0.0098845,           0.0098845,           0.0098845
                   9,            0.035308,           0.0091496,           0.0067112,              0.9082,             0.89391,             0.92414,             0.59216,            0.029402,           0.0042582,           0.0028822,            0.009868,            0.009868,            0.009868
                  10,             0.03419,           0.0085502,           0.0055151,             0.91057,             0.93064,             0.94105,             0.62346,            0.027004,           0.0040201,           0.0027641,           0.0098515,           0.0098515,           0.0098515
                  11,            0.033315,           0.0085414,           0.0056971,             0.88535,             0.93359,             0.92152,             0.59327,            0.027685,            0.003922,           0.0026741,            0.009835,            0.009835,            0.009835
                  12,            0.032155,            0.008688,           0.0059028,             0.90596,             0.92508,             0.92993,             0.62917,            0.026071,           0.0039552,           0.0030378,           0.0098185,           0.0098185,           0.0098185
                  13,            0.031912,           0.0083991,           0.0052689,             0.90593,             0.93349,             0.93014,              0.5843,            0.028297,           0.0040523,           0.0023267,            0.009802,            0.009802,            0.009802
                  14,            0.031254,           0.0083428,           0.0043004,             0.87619,             0.87758,             0.90726,             0.60054,            0.027079,           0.0040177,           0.0047313,           0.0097855,           0.0097855,           0.0097855
                  15,            0.030733,           0.0084172,           0.0045223,             0.90011,             0.92482,             0.92966,             0.61494,            0.026739,           0.0037205,           0.0026031,            0.009769,            0.009769,            0.009769
                  16,            0.031035,            0.008263,           0.0041953,             0.92607,             0.92184,             0.93906,             0.62766,            0.024836,           0.0038709,           0.0025985,           0.0097525,           0.0097525,           0.0097525
                  17,            0.030561,            0.008331,            0.004162,             0.93458,             0.93962,              0.9464,             0.64394,            0.025538,           0.0037763,           0.0016256,            0.009736,            0.009736,            0.009736
                  18,            0.029624,           0.0080104,            0.004765,             0.91354,             0.91406,             0.93253,             0.64869,            0.024461,           0.0039668,           0.0020273,           0.0097195,           0.0097195,           0.0097195
                  19,            0.029399,           0.0080263,           0.0040673,             0.93124,             0.94601,             0.94748,             0.63608,            0.024862,           0.0036158,           0.0021453,            0.009703,            0.009703,            0.009703
                  20,            0.029093,           0.0080375,           0.0039565,              0.9459,             0.95409,                0.95,             0.64364,            0.026084,           0.0037001,           0.0014332,           0.0096865,           0.0096865,           0.0096865
                  21,             0.03003,           0.0081678,           0.0032706,             0.94126,             0.95199,             0.95126,             0.63675,            0.025914,           0.0036092,           0.0014583,             0.00967,             0.00967,             0.00967
                  22,            0.028403,           0.0076772,           0.0042108,              0.9288,             0.93889,             0.92966,             0.66051,            0.023797,           0.0036242,           0.0019076,           0.0096535,           0.0096535,           0.0096535
                  23,            0.028613,           0.0080627,           0.0035601,             0.93414,             0.93789,             0.94784,             0.65215,            0.023045,           0.0036063,           0.0019047,            0.009637,            0.009637,            0.009637
                  24,            0.027668,           0.0076176,           0.0033902,             0.93707,             0.94956,             0.94729,             0.68484,             0.02302,           0.0035685,           0.0010564,           0.0096205,           0.0096205,           0.0096205
                  25,            0.027872,           0.0078341,           0.0028108,             0.93359,             0.94966,             0.95627,             0.69177,            0.022808,           0.0035465,          0.00090966,            0.009604,            0.009604,            0.009604
                  26,            0.027854,           0.0075889,           0.0031547,             0.92976,             0.94421,             0.95085,             0.66985,            0.023124,           0.0036215,           0.0014946,           0.0095875,           0.0095875,           0.0095875
                  27,            0.026754,           0.0074912,           0.0037068,             0.92302,              0.9427,              0.9453,             0.67279,            0.023181,           0.0035495,           0.0016549,            0.009571,            0.009571,            0.009571
                  28,            0.027943,            0.008039,           0.0033359,               0.934,             0.94363,             0.95056,             0.68191,            0.022855,           0.0035403,           0.0012417,           0.0095545,           0.0095545,           0.0095545
                  29,            0.026429,           0.0074848,           0.0029211,             0.94714,             0.95665,             0.95444,             0.68435,             0.02305,            0.003534,          0.00087516,            0.009538,            0.009538,            0.009538
                  30,            0.026762,           0.0074266,           0.0027311,             0.94476,             0.95083,             0.96212,             0.68787,            0.022776,           0.0034946,          0.00090392,           0.0095215,           0.0095215,           0.0095215
                  31,            0.026329,           0.0071581,           0.0022629,             0.93653,             0.95212,             0.94918,             0.68258,            0.022598,           0.0034666,           0.0011851,            0.009505,            0.009505,            0.009505
                  32,            0.025913,            0.007357,           0.0031539,             0.93776,             0.94319,             0.95552,             0.69167,            0.022878,           0.0035138,            0.001673,           0.0094885,           0.0094885,           0.0094885
                  33,            0.026557,           0.0075416,           0.0025397,             0.92651,             0.94656,             0.94103,             0.65995,            0.023087,           0.0035065,          0.00084478,            0.009472,            0.009472,            0.009472
                  34,            0.026502,           0.0074063,           0.0024981,             0.94247,             0.96209,             0.96217,             0.67031,            0.021975,           0.0034398,          0.00070642,           0.0094555,           0.0094555,           0.0094555
                  35,            0.025674,            0.007275,           0.0027779,             0.95223,              0.9516,             0.95677,              0.7165,            0.021928,           0.0033548,          0.00067373,            0.009439,            0.009439,            0.009439
                  36,            0.025201,           0.0071722,           0.0029795,              0.9307,             0.94877,             0.95328,             0.70069,            0.021703,           0.0034072,           0.0018545,           0.0094225,           0.0094225,           0.0094225
                  37,            0.025279,           0.0072506,           0.0029881,             0.94698,             0.96122,             0.96143,             0.69221,            0.023333,           0.0034533,          0.00074657,            0.009406,            0.009406,            0.009406
                  38,            0.025482,           0.0074374,           0.0027065,             0.95331,             0.95362,             0.95709,             0.71013,            0.021646,           0.0033755,          0.00061709,           0.0093895,           0.0093895,           0.0093895
                  39,            0.025488,           0.0075744,           0.0025729,             0.94073,             0.94828,             0.95917,             0.70127,            0.021566,            0.003348,           0.0016405,            0.009373,            0.009373,            0.009373
                  40,            0.025086,           0.0073061,           0.0027668,             0.94306,             0.95674,             0.96909,             0.69896,            0.022722,           0.0034277,          0.00085456,           0.0093565,           0.0093565,           0.0093565
                  41,            0.025862,           0.0071463,           0.0023105,             0.94052,             0.95833,             0.96481,             0.71013,            0.021215,           0.0033533,          0.00077493,             0.00934,             0.00934,             0.00934
                  42,            0.024743,           0.0074461,           0.0025363,             0.94622,              0.9569,             0.96428,             0.72524,            0.021371,           0.0033254,           0.0006281,           0.0093235,           0.0093235,           0.0093235
                  43,              0.0253,           0.0070914,           0.0023023,             0.95228,             0.95535,             0.96298,             0.71508,            0.021384,           0.0033514,          0.00043774,            0.009307,            0.009307,            0.009307
                  44,            0.024644,           0.0070744,           0.0021206,             0.94928,             0.95382,             0.95862,             0.68476,            0.021621,           0.0033599,           0.0006513,           0.0092905,           0.0092905,           0.0092905
                  45,            0.024512,           0.0072299,           0.0026805,             0.93775,              0.9397,             0.93783,             0.69752,            0.021736,           0.0033413,          0.00071391,            0.009274,            0.009274,            0.009274
                  46,            0.024962,           0.0073429,           0.0022981,             0.94497,             0.95699,             0.96968,             0.71974,            0.021372,           0.0033051,          0.00083903,           0.0092575,           0.0092575,           0.0092575
                  47,             0.02475,           0.0070016,           0.0019024,             0.95668,             0.96183,             0.96487,             0.71102,            0.021463,           0.0033579,          0.00043346,            0.009241,            0.009241,            0.009241
                  48,            0.025099,           0.0073934,           0.0020194,             0.95133,             0.95278,             0.96627,             0.72611,            0.020901,           0.0032859,          0.00057074,           0.0092245,           0.0092245,           0.0092245
                  49,            0.024041,           0.0071604,           0.0019208,             0.94859,             0.95249,              0.9626,             0.71811,            0.021103,           0.0032775,           0.0006088,            0.009208,            0.009208,            0.009208
                  50,            0.024119,           0.0067697,           0.0019414,             0.94965,             0.95606,             0.96312,             0.71951,            0.021388,           0.0032743,           0.0005374,           0.0091915,           0.0091915,           0.0091915
                  51,            0.023619,           0.0069958,           0.0015963,             0.93844,              0.9526,             0.96446,             0.73269,            0.020798,           0.0032872,          0.00065563,            0.009175,            0.009175,            0.009175
                  52,            0.023971,           0.0071482,           0.0019277,              0.9494,              0.9573,             0.95562,             0.72372,            0.020886,           0.0032291,          0.00045828,           0.0091585,           0.0091585,           0.0091585
                  53,             0.02479,           0.0072978,           0.0016686,             0.94394,             0.95813,             0.95972,             0.72535,            0.020885,           0.0032293,             0.00037,            0.009142,            0.009142,            0.009142
                  54,              0.0248,           0.0070019,           0.0020086,             0.94852,             0.95993,             0.96684,              0.7123,            0.021335,           0.0032713,          0.00038083,           0.0091255,           0.0091255,           0.0091255
                  55,            0.024343,           0.0068209,           0.0018727,             0.94319,             0.94972,             0.96582,             0.73058,            0.020876,           0.0033037,          0.00042393,            0.009109,            0.009109,            0.009109
                  56,            0.023762,           0.0070446,           0.0023603,             0.95293,             0.95303,             0.95927,             0.73407,            0.020295,           0.0032008,          0.00044738,           0.0090925,           0.0090925,           0.0090925
                  57,            0.023933,           0.0070475,           0.0026462,             0.95293,              0.9595,              0.9669,             0.73399,             0.02042,            0.003301,          0.00080783,            0.009076,            0.009076,            0.009076
                  58,             0.02385,           0.0069823,           0.0018637,             0.95411,             0.96115,             0.96149,             0.72752,            0.020975,           0.0032638,          0.00040815,           0.0090595,           0.0090595,           0.0090595
                  59,            0.024145,           0.0071362,           0.0015475,             0.95243,             0.95588,             0.96783,             0.73629,            0.020399,           0.0032465,           0.0004066,            0.009043,            0.009043,            0.009043
                  60,            0.023471,           0.0070189,           0.0016024,             0.95365,             0.95911,             0.96673,             0.73642,            0.020241,            0.003191,          0.00039877,           0.0090265,           0.0090265,           0.0090265
                  61,            0.023071,           0.0068977,           0.0015277,             0.93604,             0.94397,             0.95621,             0.73253,            0.020751,            0.003295,          0.00045608,             0.00901,             0.00901,             0.00901
                  62,            0.023424,           0.0068595,           0.0016526,             0.94961,             0.95639,             0.96794,             0.73809,            0.020365,            0.003227,          0.00047866,           0.0089935,           0.0089935,           0.0089935
